trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.1, 'e': 0.46122196741809546}",25,5,-130.39789446141768,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",1
79,False,"{'a': 0.1, 'e': 0.4566097477439145}",30,16,-41.48798427701781,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.1, 'e': 0.45204365026647536}",30,4,-16.40987811857181,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.4475232137638106}",25,17,-0.5393946475673088,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.4430479816261725}",30,18,9.32157933615391,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.43861750180991077}",25,0,-20.583455377897003,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.43423132679181164}",20,9,17.25635729510069,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.4298890135238935}",30,2,-34.40659935825319,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.1, 'e': 0.4255901233886546}",30,21,15.517774798969116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.421334222154768}",25,8,-8.273595328938828,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.41712087993322033}",25,3,-24.265395422703094,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.41294967113388814}",20,0,2.293067177464832,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.40882017442254925}",20,0,17.1169597172482,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.4047319726783238}",30,0,-41.87773738296818,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.40068465295154054}",20,0,-74.73548074325343,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.3966778064220251}",25,0,-7.9500762421117965,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.39271102835780486}",20,0,-14.819825447402948,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.1, 'e': 0.3887839180742268}",30,6,-79.25747048404213,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 1}",1
96,False,"{'a': 0.1, 'e': 0.38489607889348454}",25,2,-25.666933806288416,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.38104711810454966}",20,4,19.417612990092458,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.37723664692350417}",20,13,11.973594173898764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.37346428045426916}",20,5,-57.53805389873383,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
